tweets,Twitter id,URLs,hashtags,date,source,likes,retweets,Location
"Mukesh Ambani Preps India's Alibaba With Rs 1.73 Lakh-Crore Holding Company
https://t.co/zoF5jfrkOB",1188740916942524416,"[{'url': 'https://t.co/zoF5jfrkOB', 'expanded_url': 'https://www.ndtv.com/business/mukesh-ambani-readies-indias-alibaba-with-rs-1-73-lakh-crore-holding-firm-2123542', 'display_url': 'ndtv.com/business/mukes…', 'indices': [76, 99]}]",[],2019-10-28 08:54:54,Twitter Web App,113,16,
"Gold Set For Biggest Yearly Gain Since 2010 As Rock-Bottom Rates Tempt Investors: Poll
https://t.co/mYk8c7esgx",1188702942141931520,"[{'url': 'https://t.co/mYk8c7esgx', 'expanded_url': 'https://www.ndtv.com/business/spot-gold-rate-forecast-2019-gold-rate-set-for-biggest-yearly-gain-since-2010-2123529', 'display_url': 'ndtv.com/business/spot-…', 'indices': [87, 110]}]",[],2019-10-28 06:24:01,Twitter Web App,39,4,
"Petrol, Diesel Prices Unchanged For Second Straight Day
https://t.co/53eDJ4RQgK",1188666693393903616,"[{'url': 'https://t.co/53eDJ4RQgK', 'expanded_url': 'https://www.ndtv.com/business/petrol-diesel-rate-today-october-28-check-todays-prices-of-petrol-and-diesel-in-your-city-here-2123475', 'display_url': 'ndtv.com/business/petro…', 'indices': [56, 79]}]",[],2019-10-28 03:59:58,Twitter Web App,65,7,
"Financial Markets To Remain Shut Today For Govardhan Puja
https://t.co/cklUmpUk52",1188660391779323905,"[{'url': 'https://t.co/cklUmpUk52', 'expanded_url': 'https://www.ndtv.com/business/govardhan-puja-2019-holiday-financial-markets-shut-today-for-govardhan-puja-diwali-balipratipada-2123469', 'display_url': 'ndtv.com/business/govar…', 'indices': [58, 81]}]",[],2019-10-28 03:34:56,Twitter Web App,50,13,
"Diwali Muhurat Session: Sensex, Nifty Begin Samvat 2076 On Positive Note
https://t.co/wgs3u2PQSd",1188456348419125248,"[{'url': 'https://t.co/wgs3u2PQSd', 'expanded_url': 'https://www.ndtv.com/business/diwali-muhurat-session-sensex-nifty-begin-samvat-2076-on-positive-note-2123400', 'display_url': 'ndtv.com/business/diwal…', 'indices': [73, 96]}]",[],2019-10-27 14:04:08,Twitter Web App,8,1,
"Muhurat Trading Session To Begin Shortly. Catch LIVE Market Updates Here
https://t.co/niF9yUX9Mo",1188433408168349696,"[{'url': 'https://t.co/niF9yUX9Mo', 'expanded_url': 'https://www.ndtv.com/business/muhurat-trading-session-live-market-update-sensex-nifty-sensex-nifty-give-10-return-in-samvat-2075-2123379', 'display_url': 'ndtv.com/business/muhur…', 'indices': [73, 96]}]",[],2019-10-27 12:32:59,Twitter Web App,3,0,
"Samvat 2076: Here Are More Than 20 Stocks Brokerages Are Betting On This Diwali
https://t.co/x1zUDJB43J",1188426072267771905,"[{'url': 'https://t.co/x1zUDJB43J', 'expanded_url': 'https://www.ndtv.com/business/diwali-picks-2019-analysts-share-their-top-stock-picks-for-muhurat-trading-2019-share-market-tips-2123374', 'display_url': 'ndtv.com/business/diwal…', 'indices': [80, 103]}]",[],2019-10-27 12:03:50,Twitter Web App,8,0,
"Petrol, Diesel Prices On Hold After Three Days Of Reduction
https://t.co/v2xUbR9Jdz",1188420085246910465,"[{'url': 'https://t.co/v2xUbR9Jdz', 'expanded_url': 'https://www.ndtv.com/business/petrol-diesel-price-today-petrol-price-at-72-98-per-litre-diesel-at-65-95-per-litre-in-delhi-today-2123350', 'display_url': 'ndtv.com/business/petro…', 'indices': [60, 83]}]",[],2019-10-27 11:40:02,Twitter Web App,65,4,
"""RBI Has Not Sold Any Gold"": Central Bank On Reports It Traded Yellow Metal
https://t.co/wxu0l0z4gn",1188383440791490560,"[{'url': 'https://t.co/wxu0l0z4gn', 'expanded_url': 'https://www.ndtv.com/business/rbi-has-not-sold-any-gold-central-bank-on-reports-it-sold-gold-reserves-2123332', 'display_url': 'ndtv.com/business/rbi-h…', 'indices': [76, 99]}]",[],2019-10-27 09:14:26,Twitter Web App,83,10,
"Muhurat Trading 2019: BSE, NSE To Conduct Special One-Hour Trading Session Today. Check Timings Here
https://t.co/I0ZUjQcnZb",1188346202800062465,"[{'url': 'https://t.co/I0ZUjQcnZb', 'expanded_url': 'https://www.ndtv.com/business/muhurat-trading-timings-2019-diwali-bse-nse-to-conduct-special-muhurat-trading-today-diwali-2019-2123294', 'display_url': 'ndtv.com/business/muhur…', 'indices': [101, 124]}]",[],2019-10-27 06:46:27,Twitter Web App,36,1,
ICICI Bank Posts Rs 655 Crore Profit In September Quarter https://t.co/EXKchPhEbS,1188032631675346944,"[{'url': 'https://t.co/EXKchPhEbS', 'expanded_url': 'https://www.ndtv.com/business/icici-bank-q2-earnings-icici-bank-reports-profit-of-rs-650-crore-for-july-september-period-2123049', 'display_url': 'ndtv.com/business/icici…', 'indices': [58, 81]}]",[],2019-10-26 10:00:26,Twitter Web App,82,9,
"Gold Demand Lights Up On Dhanteras, Diwali
https://t.co/L9jPE17cLo",1187752027302047747,"[{'url': 'https://t.co/L9jPE17cLo', 'expanded_url': 'https://www.ndtv.com/business/dhanteras-news-gold-demand-lights-up-on-dhanteras-diwali-2122804', 'display_url': 'ndtv.com/business/dhant…', 'indices': [43, 66]}]",[],2019-10-25 15:25:25,Twitter Web App,30,4,
"Probe Finds AB InBev, United Breweries Colluded On Prices: Report
https://t.co/0vkjpcQona",1187719258626592768,"[{'url': 'https://t.co/0vkjpcQona', 'expanded_url': 'https://www.ndtv.com/business/probe-finds-ab-inbev-carlsberg-united-breweries-colluded-on-prices-report-2122758', 'display_url': 'ndtv.com/business/probe…', 'indices': [66, 89]}]",[],2019-10-25 13:15:12,Twitter Web App,10,2,
"Foreign Exchange Reserves Cross $440 Billion Mark
https://t.co/KNTaJJRIfI",1187716401059921920,"[{'url': 'https://t.co/KNTaJJRIfI', 'expanded_url': 'https://www.ndtv.com/business/foreign-exchange-reserves-cross-440-billion-mark-2122746', 'display_url': 'ndtv.com/business/forei…', 'indices': [50, 73]}]",[],2019-10-25 13:03:51,Twitter Web App,46,14,
"Tata Motors Reports Loss Of Rs. 1,282 Crore In September Quarter
https://t.co/FLNJXciiae",1187699007918768130,"[{'url': 'https://t.co/FLNJXciiae', 'expanded_url': 'https://www.ndtv.com/business/tata-motors-news-tata-motors-reports-loss-of-rs-1-282-crore-in-september-quarter-2122707', 'display_url': 'ndtv.com/business/tata-…', 'indices': [65, 88]}]",[],2019-10-25 11:54:44,Twitter Web App,73,17,
"Sensex, Nifty End On A Flat Note; SBI Surges After Profit Triples In Q2
https://t.co/H98GeLp9ZI",1187673390510821376,"[{'url': 'https://t.co/H98GeLp9ZI', 'expanded_url': 'https://www.ndtv.com/business/sensex-today-sensex-nifty-end-on-a-flat-note-sbi-surges-after-profit-triples-in-q2-2122637', 'display_url': 'ndtv.com/business/sense…', 'indices': [72, 95]}]",[],2019-10-25 10:12:56,Twitter Web App,18,1,
"Infosys Incentivises Mid-Level Employees By Granting Shares
https://t.co/MaXcVPREfw",1187627272460652544,"[{'url': 'https://t.co/MaXcVPREfw', 'expanded_url': 'https://www.ndtv.com/business/diwaili-bonus-2019-news-infosys-incentivises-mid-level-employees-by-granting-shares-2122485', 'display_url': 'ndtv.com/business/diwai…', 'indices': [60, 83]}]",[],2019-10-25 07:09:41,Twitter Web App,24,3,
"Dhanteras 2019: Jewellers Announce Discounts, Cashbacks On Gold Purchase
https://t.co/F0lfU6kfVy",1187604026805776384,"[{'url': 'https://t.co/F0lfU6kfVy', 'expanded_url': 'https://www.ndtv.com/business/dhanteras-2019-diwali-discount-on-gold-diamond-purchase-pc-jeweller-tanishq-malabar-golds-cashback-2122280', 'display_url': 'ndtv.com/business/dhant…', 'indices': [73, 96]}]",[],2019-10-25 05:37:19,Twitter Web App,36,4,
"Sensex rises over 100 points, Nifty near 11,600; Infosys, ITC, SBI top gainers #Sensex #Nifty #MarketUpdates",1187580706450358272,[],"[{'text': 'Sensex', 'indices': [79, 86]}, {'text': 'Nifty', 'indices': [87, 93]}, {'text': 'MarketUpdates', 'indices': [94, 108]}]",2019-10-25 04:04:39,Twitter Web App,3,4,
"Sensex, Nifty Likely To Open Lower Today; SBI, Tata Motors Shares In Focus
https://t.co/JCuU6zzvJJ",1187566671348695040,"[{'url': 'https://t.co/JCuU6zzvJJ', 'expanded_url': 'https://www.ndtv.com/business/bse-sensex-today-live-share-market-update-sensex-nifty-likely-to-open-lower-sbi-tata-motors-in-focus-2122395', 'display_url': 'ndtv.com/business/bse-s…', 'indices': [75, 98]}]",[],2019-10-25 03:08:53,Twitter Web App,6,1,
Will Explore Ground To File Review Plea: Vodafone-Idea On Supreme Court Order https://t.co/NPS6WJ08dm,1187367789528604673,"[{'url': 'https://t.co/NPS6WJ08dm', 'expanded_url': 'https://www.ndtv.com/business/will-explore-ground-to-file-review-plea-vodafone-idea-on-supreme-court-order-2122247', 'display_url': 'ndtv.com/business/will-…', 'indices': [78, 101]}]",[],2019-10-24 13:58:35,Twitter Web App,24,2,
